City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
161,Suntar,RU,2020-05-12 21:59:58,62.14,117.63,30.7,89,95,6.08,overcast clouds,0,0
162,Kaitangata,NZ,2020-05-12 21:59:58,-46.28,169.85,52.0,80,95,2.82,overcast clouds,0,0
163,Hervey Bay,AU,2020-05-12 21:59:58,-25.3,152.85,63.0,87,52,5.99,broken clouds,0,0
164,Chicama,PE,2020-05-12 21:59:58,-7.84,-79.15,74.64,68,29,9.04,scattered clouds,0,0
165,Faya,SA,2020-05-12 21:59:59,18.39,42.45,71.6,73,0,1.23,clear sky,0,0
166,Airai,TL,2020-05-12 21:59:59,-8.93,125.41,56.82,91,75,3.58,broken clouds,0,0
167,Dukhovnitskoye,RU,2020-05-12 21:59:59,52.48,48.21,54.21,77,2,13.2,clear sky,0,0
168,Finschhafen,PG,2020-05-12 21:59:59,-6.6,147.87,79.0,83,100,5.1,moderate rain,0,0
169,Colares,PT,2020-05-12 21:59:59,38.8,-9.45,61.0,87,20,3.36,few clouds,0,0
170,Tarakan,ID,2020-05-12 21:55:05,3.3,117.63,78.75,86,41,5.48,scattered clouds,0,0
171,Sept-Iles,CA,2020-05-12 21:59:59,50.2,-66.38,42.01,93,90,6.93,light rain,0,0
172,Lujan,AR,2020-05-12 22:00:00,-34.57,-59.1,59.0,60,0,5.84,clear sky,0,0
173,Valparaiso,CL,2020-05-12 22:00:00,-33.04,-71.63,57.2,62,98,4.7,overcast clouds,0,0
174,Palmas De Monte Alto,BR,2020-05-12 22:00:00,-14.27,-43.16,72.27,70,18,6.02,few clouds,0,0
175,Yerbogachen,RU,2020-05-12 22:00:00,61.28,108.01,29.59,91,65,8.75,broken clouds,0,0
176,Talnakh,RU,2020-05-12 21:58:20,69.49,88.4,28.4,79,56,11.18,broken clouds,0,0
177,Bonavista,CA,2020-05-12 22:00:01,48.65,-53.11,38.34,97,100,30.38,light rain,0,0
178,Palmer,US,2020-05-12 21:58:08,42.16,-72.33,53.6,23,20,24.16,few clouds,0,0
179,Buchanan,LR,2020-05-12 22:00:01,5.88,-10.05,80.37,84,98,6.62,overcast clouds,0,0
180,Gamboma,CG,2020-05-12 22:00:01,-1.88,15.86,71.85,94,60,0.49,broken clouds,0,0
181,Trapani,IT,2020-05-12 22:00:01,37.83,12.67,69.01,68,6,2.24,clear sky,0,0
182,Ponta Do Sol,PT,2020-05-12 21:58:29,32.67,-17.1,68.0,49,20,8.05,few clouds,0,0
183,Adrar,MR,2020-05-12 22:00:02,20.5,-10.07,84.97,16,0,9.17,clear sky,0,0
184,Borovskoy,KZ,2020-05-12 22:00:03,53.8,64.15,59.86,83,99,3.58,overcast clouds,0,0
185,Russell,US,2020-05-12 22:00:03,32.35,-85.2,78.8,29,1,2.59,clear sky,0,0
186,Tiksi,RU,2020-05-12 22:00:04,71.69,128.87,28.8,98,94,4.07,overcast clouds,0,0
187,Biak,ID,2020-05-12 22:00:04,-0.91,122.88,78.78,77,76,5.35,broken clouds,0,0
188,Benguela,AO,2020-05-12 22:00:05,-12.58,13.41,77.68,77,73,3.33,broken clouds,0,0
189,Port Blair,IN,2020-05-12 22:00:01,11.67,92.75,83.44,78,92,11.16,light rain,0,0
190,Faanui,PF,2020-05-12 22:00:05,-16.48,-151.75,81.54,74,75,11.27,broken clouds,0,0
191,La Ronge,CA,2020-05-12 22:00:05,55.1,-105.28,55.4,19,20,9.17,few clouds,0,0
192,Axim,GH,2020-05-12 22:00:06,4.87,-2.24,79.99,84,0,6.42,clear sky,0,0
193,Port Hueneme,US,2020-05-12 22:00:06,34.15,-119.2,69.01,82,90,10.29,overcast clouds,0,0
194,Hushitai,CN,2020-05-12 22:00:06,41.93,123.51,50.0,76,2,2.24,clear sky,0,0
195,Beringovskiy,RU,2020-05-12 22:00:07,63.05,179.32,33.06,96,99,6.49,overcast clouds,0,0
196,Coolum Beach,AU,2020-05-12 22:00:07,-26.53,153.1,57.99,95,71,7.47,broken clouds,0,0
197,Ribeira Grande,PT,2020-05-12 22:00:07,38.52,-28.7,59.97,70,56,25.14,broken clouds,0,0
198,Cherskiy,RU,2020-05-12 22:00:07,68.75,161.3,40.44,69,57,7.34,broken clouds,0,0
199,Ballina,AU,2020-05-12 22:00:08,-28.87,153.57,57.0,93,40,5.08,scattered clouds,0,0
200,Cullera,ES,2020-05-12 22:00:08,39.17,-0.25,63.0,89,59,10.8,light rain,0,0
201,Basoko,CD,2020-05-12 22:00:08,1.24,23.62,73.85,91,27,3.44,scattered clouds,0,0
202,Sarangani,PH,2020-05-12 22:00:08,5.4,125.46,83.89,79,76,8.79,broken clouds,0,0
203,Kudahuvadhoo,MV,2020-05-12 22:00:08,2.67,72.89,84.56,74,43,6.87,scattered clouds,0,0
204,Olafsvik,IS,2020-05-12 22:00:09,64.89,-23.71,38.93,80,77,10.33,broken clouds,0,0
205,Urbana,US,2020-05-12 22:00:09,40.11,-88.21,62.01,29,20,6.93,few clouds,0,0
206,Priladozhskiy,RU,2020-05-12 22:00:09,59.85,31.48,41.0,39,100,9.69,overcast clouds,0,0
207,Palauig,PH,2020-05-12 22:00:09,15.44,119.9,83.14,70,11,3.51,few clouds,0,0
208,Antofagasta,CL,2020-05-12 21:57:57,-23.65,-70.4,62.6,72,20,16.11,few clouds,0,0
209,Ullapool,GB,2020-05-12 22:00:09,57.9,-5.16,35.01,74,89,3.58,overcast clouds,0,0
210,Preston,GB,2020-05-12 21:56:59,53.77,-2.72,46.0,83,15,6.69,few clouds,0,0
211,Northam,GB,2020-05-12 22:00:10,51.03,-4.22,48.0,79,47,1.99,scattered clouds,0,0
212,Ozernovskiy,RU,2020-05-12 22:00:10,51.5,156.52,41.43,68,0,5.75,clear sky,0,0
213,Beloha,MG,2020-05-12 22:00:10,-25.17,45.05,63.91,81,12,2.84,few clouds,0,0
214,Port Elizabeth,ZA,2020-05-12 21:57:49,-33.92,25.57,62.6,88,99,20.8,light rain,0,0
215,Ilulissat,GL,2020-05-12 21:57:51,69.22,-51.1,44.6,69,74,9.17,broken clouds,0,0
216,Derzhavinsk,KZ,2020-05-12 22:00:10,51.1,66.32,62.17,83,100,2.53,light rain,0,0
217,Calama,CL,2020-05-12 22:00:10,-22.47,-68.93,68.0,18,0,25.28,clear sky,0,0
218,Tula,RU,2020-05-12 21:59:53,54.2,37.61,51.01,80,99,17.94,overcast clouds,0,0
219,Mattru,SL,2020-05-12 22:00:11,7.62,-11.83,77.07,93,100,4.68,moderate rain,0,0
