City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Atar,MR,2020-05-08 21:20:47,20.52,-13.05,91.78,12,0,9.71
276,Turtas,RU,2020-05-08 21:20:47,58.94,69.13,57.4,54,96,6.11
277,Paamiut,GL,2020-05-08 21:18:34,61.99,-49.67,41.59,75,98,8.66
278,Hurghada,EG,2020-05-08 21:20:47,27.26,33.81,77.0,36,0,6.26
279,Muyezerskiy,RU,2020-05-08 21:20:47,63.93,31.65,34.84,88,92,4.23
280,Sao Jose Da Coroa Grande,BR,2020-05-08 21:19:34,-8.9,-35.15,78.55,80,93,8.16
281,Novo Aripuana,BR,2020-05-08 21:20:47,-5.12,-60.38,79.92,92,92,0.54
282,Roma,US,2020-05-08 21:20:47,43.21,-75.46,41.0,51,90,13.87
283,Eyl,SO,2020-05-08 21:20:48,7.98,49.82,83.26,71,0,7.2
284,Cidreira,BR,2020-05-08 21:18:47,-30.18,-50.21,59.88,74,0,4.7
285,Kem,RU,2020-05-08 21:20:48,64.96,34.58,36.95,80,50,6.29
286,Tutoia,BR,2020-05-08 21:20:48,-2.76,-42.27,80.33,78,78,5.1
287,Salinas,US,2020-05-08 21:20:48,36.68,-121.66,84.99,46,1,16.11
288,Zhengjiatun,CN,2020-05-08 21:20:48,43.51,123.51,50.31,91,5,7.52
289,Phalodi,IN,2020-05-08 21:20:49,27.13,72.37,93.63,20,0,19.35
290,Laguna,US,2020-05-08 21:15:52,38.42,-121.42,91.4,16,1,4.7
291,Anderson,US,2020-05-08 21:20:49,34.53,-82.65,55.4,82,90,6.93
292,Mecca,SA,2020-05-08 21:15:58,21.43,39.83,82.63,55,88,2.01
293,Kruisfontein,ZA,2020-05-08 21:18:17,-34.0,24.73,56.21,96,0,0.54
294,Dali,CN,2020-05-08 21:20:49,25.7,100.18,55.49,78,0,4.47
295,Lorengau,PG,2020-05-08 21:17:02,-2.02,147.27,81.9,80,99,3.69
296,Nuuk,GL,2020-05-08 21:18:16,64.18,-51.72,41.0,80,100,6.93
297,Chegdomyn,RU,2020-05-08 21:20:50,51.12,133.02,43.39,62,92,2.04
298,Kamina,CD,2020-05-08 21:20:50,-8.74,24.99,65.77,89,97,3.49
299,Rize,TR,2020-05-08 21:20:50,40.9,40.89,33.26,100,100,1.05
300,Krasnyy,RU,2020-05-08 21:20:50,54.57,31.43,41.29,72,2,4.94
301,Angoche,MZ,2020-05-08 21:19:30,-16.23,39.91,72.97,82,33,8.77
302,Jacksonville Beach,US,2020-05-08 21:16:44,30.29,-81.39,82.4,26,20,9.17
303,Esil,KZ,2020-05-08 21:20:51,51.96,66.4,62.69,48,0,15.37
